,name,products,completed_orders,ships_from
236,LazySunday,"['Benzos', 'Stimulants', 'Other']",4,['Bulgaria']
237,ddprovider,"['Fraud', 'Personal Info']",38,[]
238,chicagobud,[],0,[]
239,KitkatAB,['Data & Scans'],0,['Mexico']
240,RockStarPILSNL,"['Cocaine', 'XTC Pills']",6,['Netherlands']
241,DopingDuck,"['Methamphetamine', 'Cocaine', 'Amphetamine']",1,['Netherlands']
242,heromeister,['Heroin'],3,['Germany']
243,PrescoxySquad,[],0,[]
244,GamersHells,"['Oxycodone', 'Benzos', 'Cocaine', 'Weed', 'XTC Pills', 'RCs', 'Codeine', 'Concentrates', 'Hash', 'Edibles', 'DMT', 'Heroin', 'Mushrooms', 'Methadone']",87,['United States']
245,yoshisteam,"['Security', 'Fraud', 'Dumps', 'Accounts & Drops', 'Accounts', 'Services', 'Hacking', 'Security Software']",710,[]
246,powderhome,"['Adderal', 'Benzos', 'Oxycodone', 'Ketamine', 'XTC Pills']",1,['United States']
247,incognitous,"['Personal Info', 'Accounts & Drops']",1,[]
248,dotzero,"['Services', 'Accounts & Drops', 'Other', 'Dumps', 'Hacking', 'Fraud', 'Cards & CVV', 'Databases']",0,[]
249,ThaKingDadpop,"['Opium', 'GHB', 'Other', 'Benzos', 'Ketamine', 'Weed', 'Stimulants', 'Cocaine', 'Methamphetamine', 'MDMA']",0,"['United States', 'France']"
250,bestmeds,"['Money', 'Ketamine', 'Codeine', 'Oxycodone', 'Benzos', 'Adderal']",0,['United States']
251,thundergod,[],0,[]
252,PsychoRev,[],0,[]
253,FlyingDrugzMan,"['Weed', 'Ketamine', 'XTC Pills', 'Cocaine']",25,['Netherlands']
254,nakkie,[],0,[]
255,Pinoccio,"['MDMA', 'Amphetamine', 'Ketamine', 'Cocaine', 'Heroin', 'Hash', 'XTC Pills']",5,['Germany']
256,klaasflakko,[],0,[]
257,dmtcarts,[],0,[]
258,Shorestore,['Heroin'],19,['Germany']
259,Trapgod,"['Weed', 'Hash']",3,['Germany']
260,QualiMoon,['Codeine'],0,['United States']
261,JamesOcean,[],0,[]
262,maurelius,"['Weed', 'Cocaine', 'Hash']",3,['United Kingdom']
263,dpdutchrunners,[],0,[]
264,MrM420,['Weed'],10,['United Kingdom']
265,projeccao,"['LSD', 'Weed', 'XTC Pills', 'MDMA']",23,['France']
266,Pillenschleude,['Adderal'],3,['Germany']
267,FGWL,[],0,[]
268,PTGS,[],0,[]
269,youbeenhacked,['Socks'],5,[]
270,usapharm,"['Stimulants', 'Benzos', 'Relaxants']",8,['United States']
271,cheaplikedirt,"['Other', 'Ketamine', 'Cocaine', 'Drugs']",40,['United States']
272,Firefly,"['Heroin', 'Codeine', 'Ketamine', 'Stimulants', 'Oxycodone', 'XTC Pills', 'MDMA', 'Cocaine', 'Adderal', 'Benzos']",1,['Netherlands']
273,DumpsTracks,"['Dumps', 'Personal Info', 'Data & Scans']",2,[]
274,thcwizzard,[],0,[]
275,TrustMatters,[],0,[]
276,CosmicCannabis,"['Edibles', 'Concentrates']",8,['United States']
277,gwolf,['Data & Scans'],5,[]
278,alibaba,"['Cocaine', 'Heroin']",6,['France']
279,MarioUndPeach,['Weed'],4,['Germany']
280,MembersOnly,[],0,[]
281,thesandman,['Benzos'],0,['United Kingdom']
282,MOLADVI,['Money'],0,['United States']
283,maltamagic,"['Jewelry & Gold', 'Weed', 'Data & Scans']",0,['United Kingdom']
284,blackmarket,"['Services', 'Fraud']",4,[]
285,drogenbauer,[],0,[]
286,CB2020,[],0,[]
287,weaver777,"['Ketamine', 'Weed']",2,['United Kingdom']
288,PharmaWorldUK,"['Codeine', 'Oxycodone', 'Benzos', 'Ketamine', 'Amphetamine']",6,['United Kingdom']
289,darkzone,"['Cocaine', 'Amphetamine', 'XTC Pills']",19,['Germany']
290,ladyskywalker,"['Cards & CVV', 'Money', 'Accounts & Drops', 'Fake IDs']",0,['United States']
291,premierpharma,"['Benzos', 'Codeine', 'Morphine', 'Relaxants', 'Other', 'Steroids']",117,['United Kingdom']
292,peterpaperguy,"['Fraud', 'Data & Scans', 'Fake IDs', 'E-Books']",5,['United States']
293,malwareshop,['Fraud'],2,[]
294,shroomers,['Mushrooms'],0,['Canada']
295,dutchunited,"['MDMA', 'XTC Pills', 'Cocaine']",17,['Netherlands']
296,fastfrance,"['Weed', 'Hash', 'Concentrates']",0,"['United Kingdom', 'France']"
297,dumbledore,['Weed'],0,['Canada']
298,SimonsToolBox,[],0,[]
299,dreamstore,"['Money', 'Fake IDs', 'Databases']",1,"['Germany', 'United States']"
300,koko44,[],0,[]
301,cocokingz,"['Heroin', 'Cocaine', 'Hash']",0,"['Netherlands', 'Germany']"
302,happyseller1,"['Services', 'Accounts & Drops', 'Cards & CVV', 'Fake IDs', 'Data & Scans', 'Hacking', 'Software Keys', 'Security', 'Accounts']",27,['Germany']
303,Kontaktmann,[],0,[]
304,fuckmeloud,"['Stimulants', 'Accounts', 'Concentrates', 'Oxycodone', 'Cocaine', 'Cards & CVV', 'Money', 'Ketamine', 'Weed']",19,"['United States', 'Armenia', 'United Kingdom']"
305,topshopuk,['Cocaine'],0,['United Kingdom']
306,RaymondRay,"['Weed', 'DMT', 'Cocaine', 'XTC Pills', 'Benzos', 'Hash', 'Oxycodone', 'Opium', 'Methoxetamine', 'Stimulants', 'LSD', 'Mushrooms', 'MDMA', 'Amphetamine', 'Crack', 'Concentrates']",7,['Netherlands']
307,rapesec,"['Fraud', 'Hacking', 'Security']",0,[]
308,neighborjimi,"['LSD', 'Ketamine', 'Methamphetamine', 'Cocaine']",25,['Netherlands']
309,WVANORANJE,"['MDMA', 'XTC Pills', 'Heroin', 'Amphetamine', 'Cocaine', 'LSD', 'Ketamine']",159,['Netherlands']
310,accountisland,[],0,[]
311,lucky,"['Weed', 'Edibles', 'Concentrates']",4,['United States']
312,momox,"['Opium', 'Methamphetamine', 'DMT', 'Heroin', 'Benzos', 'LSD']",42,"['Austria', 'Germany']"
313,Ghost1,[],0,[]
314,DrOetkerDE,[],0,[]
315,BobShop,[],0,[]
316,realchemsuppli,"['Benzos', 'RCs', 'Crack', 'Cocaine', 'Ketamine', 'Methamphetamine']",1,['China']
317,CardsRus,"['Data & Scans', 'Personal Info']",21,[]
318,tony420,[],0,[]
319,derDeutsche,['Drugs'],1,['Germany']
320,TheHappyDwarf,"['Hash', 'Weed', 'XTC Pills']",9,['Spain']
321,Cali420Service,"['Concentrates', 'Weed']",4,['United States']
322,loyalty,"['Accounts', 'Services', 'XTC Pills', 'Other', 'Fraud', 'Cards & CVV', 'Accounts & Drops', 'Security Software', 'Hacking', 'Leaks', 'Fake IDs']",51,['France']
323,ShamanUK,"['LSD', 'DMT']",2,['Ireland']
324,supreamkiller,"['Personal Info', 'Accounts & Drops', 'Fraud']",0,[]
325,Versus,"['Weed', 'Codeine', 'Benzos', 'Steroids', 'Concentrates', 'Adderal', 'LSD', 'DMT', 'Mushrooms', '2C', 'MDMA', 'Methoxetamine', 'Hash', 'Cocaine', 'Other', 'Edibles', 'Ketamine']",1,['United States']
326,XPress,[],0,[]
327,carlosmano,"['Accounts', 'Miscellaneous']",5,[]
328,friday13th,"['Miscellaneous', 'Fraud']",0,[]
329,DopeMastersNL,[],0,[]
330,2GD4DN,[],0,[]
331,candyonline,['Money'],0,['Netherlands']
332,globalstims,[],0,[]
333,unitedpharma,['Benzos'],0,['United States']
334,JamalsPlantage,['Weed'],1,['Germany']
335,PILLSDr,['Benzos'],2,[]
336,pure,[],0,[]
337,cityshop,"['Benzos', 'Oxycodone', 'Accounts & Drops', 'Cards & CVV', 'Money', 'XTC Pills', 'Cocaine', 'Accounts', 'LSD', 'Hydrocodone']",0,['United States']
338,dulcecuarenten,[],0,[]
339,NewYorker,[],0,[]
340,ITPharmaMarket,['Benzos'],0,['United Kingdom']
341,drritalin,['Adderal'],1,['Germany']
342,fungee,[],0,[]
343,speedzone,[],0,[]
344,UKshop,[],0,[]
345,Whiteboard,['Adderal'],0,['Switzerland']
346,DopeThrone,[],0,[]
347,DrRelax,"['Weed', 'Amphetamine', 'Stimulants', 'Cocaine']",13,['United Kingdom']
348,MrSoSa,[],0,[]
349,alphaking,[],0,[]
350,TheMajor,[],0,[]
351,vendorcz,[],0,[]
352,DutchDrugs,[],0,[]
353,High00,"['Methamphetamine', 'DMT', 'GHB', 'Mushrooms', 'Crack', 'MDMA', 'Weed']",9,['United States']
354,Blueskies1337,"['E-Books', 'Exploits', 'Miscellaneous', 'Other', 'Leaks', 'Benzos', 'Accounts & Drops', 'Rats']",22,['United States']
355,whitebuddha,['Cocaine'],2,['United States']
356,kingaccount,[],0,[]
357,Oregon21,"['Oxycodone', 'Benzos', 'Cards & CVV', 'LSD', 'Adderal', 'Opium', 'Methadone', 'DMT', 'Codeine', 'Ketamine']",44,['United States']
358,cmoney345,[],0,[]
359,originalgermed,['Oxycodone'],0,['Germany']
360,Cookiesncream,['Benzos'],0,['United States']
361,shimshai,['DMT'],7,['United States']
362,Drugbuster,['Cocaine'],0,['United Kingdom']
363,bestket,[],0,[]
364,GermanService,[],2,[]
365,delchapo,[],0,[]
366,amazoncrime,"['Methamphetamine', 'Services', 'Malware', 'Heroin', 'Hash', 'Amphetamine', 'Weed', 'Hacking']",24,['Austria']
367,Feinschmecker,"['Weed', 'Hash']",6,['Germany']
368,MickeyMouseNL,[],0,[]
369,Baronwhite,"['Mushrooms', 'Heroin', 'Seeds', 'Money', 'Other', 'DMT', 'Cards & CVV', 'Hash', 'Amphetamine', 'Weed', 'Methamphetamine', 'LSD', 'MDMA', 'XTC Pills', 'Concentrates', 'Stimulants', 'Oxycodone', 'Ketamine']",0,['United States']
370,whitebeer,[],0,[]
371,billybobshouse,[],0,[]
372,dexterslabs,[],0,[]
373,rosemanket,"['Money', 'Cocaine', 'XTC Pills', 'Benzos', 'Oxycodone', 'Ketamine', 'DMT', 'Fraud', 'Services']",0,['United States']
374,polarsprings,"['XTC Pills', 'Codeine', 'Methadone', '2C', 'Ketamine', 'Services', 'Weed', 'Benzos', 'Relaxants', 'Stimulants', 'Mushrooms', 'Oxycodone', 'MDMA', 'Hydrocodone', 'Heroin', 'Opium', 'Morphine', 'Money']",0,"['United States', 'Germany']"
375,SientificVendo,"['Weight Loss', 'Other', 'Heroin', 'Benzos', 'Stimulants', 'Amphetamine', 'Steroids', 'Relaxants', 'Ketamine', 'Codeine', 'Barbiturates']",49,['Germany']
376,ChampagnePapi,[],7,[]
377,hpharma,[],0,[]
